Name,cluster
"Реле тимчасового ввімкнення (0,3-30 сек) при подачі напруги E.Next e.control.t16 i0310028",21
Контактор 230V Hager ESC225 25A 2нв,9
Перемикач I-0-II 230V 2-полюсний Hager SFT225 25А вихід зверху,10
Перемикач I-0-II 230V 2-полюсний Hager SFT240 40А вихід зверху,10
"Термостат з датчиком підлоги+повітря Terneo pro білий 16А+5,+60",7
Індикатор модульний LED Hager SVN123 жовтий,3
"Патрон керамічний Е27 без кріплення, мідний контакт (Без маркування) E.Next s9100117p",11
Клемна колодка в корпусі Аско ТВ 2503 A0130050007,0
Коробка розподільна IP44 УЕК 85*85*40 КМ41235 UKO11-085-085-040-K41-44,0
"ВВГнг кабель вітчизняний 2* 2,5",24
Вимикач 2-клавішний ETI IP54/IP44 VHE-2 білий 4668001,11
"Диференційне реле 2-полюсне Hager CF263J A-63/0,3А",6
Вимикач автоматичний 3-полюсний Hager 6kA MC320A C 20A,22
Перемикач I-0-II 230V 1-полюсний Hager SFT132 32А вихід зверху,10
Контактор 230V Hager ESC225 25A 2нв,9
Перемикач DIN I-0-II 2-полюсний E.Next e.is3.pro.2.40 40А p008024,4
Лампа розжарювання 75W E27 230V A55 Iskra прозора в манжеті,23
ПРА електронне Feron 1*30W EB51S T8 30W 515,28
Вимикач автоматичний 2-полюсний Hager 6kA MB232A B 32A,25
Таймер електронний E.Next e.control.t08m i0310034,21
Перемикач I-0-II 230V 2-полюсний Hager SFT232 32А вихід зверху,10
Корпус щита пластиковий зовнішній IP65 ETI ECH 4G 1101060 прозора вертикальна дверка,12
Коробка установочна MB001 D65×45 для суцільних стін Plank PLK5001500,0
"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 25А MVA20-1-025-C-U",5
"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 32А MVA20-1-032-C-U",5
Розетка із заземлюючим контактом із захистом Sedna SDN3000121 біла,0
Рамка 5-а Sedna SDN5800921 біла,7
Лічильник 1 фазний багатотарифний 5- 60А електронний A (активної енергії) NIK 2104 AP2T.1000.C.11,21
