algorithm,dimension,n_clusters,silhouette,davies_bouldin,calinski_harabasz,cluster_count,noise_ratio,trustworthiness,knn_preservation,eps,min_samples,min_cluster_size,linkage
dbscan,64,,0.62342894,0.3980735310446069,2075.2703,44,0.004,0.9488964858410099,0.6121333333333333,0.7,5.0,,
dbscan,64,,0.5504155,1.4238462437024935,135.20372,34,0.092,0.9488964858410099,0.6121333333333333,0.7,10.0,,
hdbscan,64,,0.5156593,1.4442025291996805,109.533394,36,0.151,0.9488964858410099,0.6121333333333333,,,10.0,
hdbscan,64,,0.33131203,1.5844632356354942,75.453896,19,0.265,0.9488964858410099,0.6121333333333333,,,20.0,
hdbscan,64,,0.0019157729,2.2949012308334718,60.836823,3,0.576,0.9488964858410099,0.6121333333333333,,,50.0,
agglomerative,64,5.0,0.3565325,1.3018401332766607,269.0338,5,0.0,0.9488964858410099,0.6121333333333333,,,,ward
agglomerative,64,5.0,0.5345084,0.5069588444892279,81.9081,5,0.0,0.9488964858410099,0.6121333333333333,,,,average
agglomerative,64,10.0,0.40793085,0.6256382125804109,360.19452,10,0.0,0.9488964858410099,0.6121333333333333,,,,ward
agglomerative,64,10.0,0.4285581,0.38839924678006893,92.978874,10,0.0,0.9488964858410099,0.6121333333333333,,,,average
agglomerative,64,15.0,0.44394603,0.7128373542009958,502.49792,15,0.0,0.9488964858410099,0.6121333333333333,,,,ward
agglomerative,64,15.0,0.5128893,0.41829615763618333,438.67758,15,0.0,0.9488964858410099,0.6121333333333333,,,,average
kmeans,32,5.0,0.30176216,1.293144264112223,183.39581,5,0.0,0.9384062777209143,0.6115999999999999,,,,
kmeans,32,10.0,0.35959056,0.7481150500611771,286.80392,10,0.0,0.9384062777209143,0.6115999999999999,,,,
kmeans,32,15.0,0.4892924,0.6131834797449999,400.61398,15,0.0,0.9384062777209143,0.6115999999999999,,,,
dbscan,32,,0.6610896,1.0154417875615276,481.65707,79,0.061,0.9384062777209143,0.6115999999999999,0.3,5.0,,
dbscan,32,,0.17939498,1.0640101486453415,57.025482,37,0.426,0.9384062777209143,0.6115999999999999,0.3,10.0,,
dbscan,32,,0.6296926,0.8525059577414233,1278.6315,59,0.027,0.9384062777209143,0.6115999999999999,0.5,5.0,,
dbscan,32,,0.4319219,1.349379962094707,107.1043,36,0.233,0.9384062777209143,0.6115999999999999,0.5,10.0,,
dbscan,32,,0.60885936,0.5495070975832769,1937.7299,47,0.009,0.9384062777209143,0.6115999999999999,0.7,5.0,,
dbscan,32,,0.49555278,1.5146041690961745,137.83966,33,0.13,0.9384062777209143,0.6115999999999999,0.7,10.0,,
hdbscan,32,,0.46939954,1.423365301135775,129.69405,34,0.162,0.9384062777209143,0.6115999999999999,,,10.0,
hdbscan,32,,0.20290254,1.737468585926811,89.99141,8,0.2,0.9384062777209143,0.6115999999999999,,,20.0,
hdbscan,32,,0.17973223,2.8937098753409494,86.47723,2,0.388,0.9384062777209143,0.6115999999999999,,,50.0,
agglomerative,32,5.0,0.33941108,1.0809693995925533,298.06665,5,0.0,0.9384062777209143,0.6115999999999999,,,,ward
agglomerative,32,5.0,0.5603532,0.32792560670459925,113.3549,5,0.0,0.9384062777209143,0.6115999999999999,,,,average
agglomerative,32,10.0,0.40267152,0.7519463492002305,370.05045,10,0.0,0.9384062777209143,0.6115999999999999,,,,ward
agglomerative,32,10.0,0.39957276,0.38818826651948807,114.88577,10,0.0,0.9384062777209143,0.6115999999999999,,,,average
agglomerative,32,15.0,0.47654176,0.524259390110655,539.0104,15,0.0,0.9384062777209143,0.6115999999999999,,,,ward
